sample_id,area,red,green,blue,hue,sat,value,gray,contrast,dissimilarity,homogeneity,energy,correlation,asm,class
samples\Non-Contaminated\Output_1\Test_batch_1_001_001.jpg,64019,208.31723394617222,161.47957637576346,79.92236679735703,18.593761227135694,156.8293006763617,208.31723394617222,166.20509536231432,366.01912232504344,6.324260169654908,0.3976307768254964,0.2211836355093401,0.9661554034870083,0.04892220061712861,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_002.jpg,116963,223.42423672443422,176.73014543060626,103.32205056299856,17.9415883655515,137.10640971931295,223.42423672443422,182.36216581312038,548.9938603176163,7.783427159644033,0.40161070744700267,0.27226271025473536,0.9622123518094206,0.07412698339525399,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_003.jpg,95965,218.83668003959778,174.55703641952795,98.79570676809253,18.62658260824259,140.21460949304435,218.83668003959778,179.18561975720314,442.91610896480404,8.904199495026315,0.3508560076781376,0.2636871487352847,0.9674712143872615,0.06953091240814416,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_004.jpg,90031,216.9491952771823,176.6692694738479,113.41861136719574,18.05753573769035,122.58887494307517,216.9491952771823,181.50278237495974,464.42107779692196,8.183540390592157,0.3634760078749456,0.25061982051195386,0.9663246437829132,0.06281029443344398,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_005.jpg,109306,210.6193255630981,171.33959709439554,107.33043016851774,18.262163101751046,125.33444641648217,210.6193255630981,175.79303057471685,342.29174637127574,6.58403666921314,0.4365747999443168,0.3252862469709724,0.9768446737669112,0.10581114246846046,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_006.jpg,104709,214.82173452138784,166.22990382870623,86.93957539466521,18.352815899301874,152.3552416697705,214.82173452138784,171.75840663171266,686.9730618222611,11.79004113174623,0.266500899443193,0.17479288439400392,0.9304885641556035,0.03055255243477562,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_007.jpg,72402,227.5417806137952,177.89330405237425,107.03371453827242,17.267520234247673,135.24039391177038,227.5417806137952,184.68865500953012,648.6306752006153,8.524186051481509,0.36350825327998293,0.217890694506694,0.9499196334568586,0.047476354752609445,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_008.jpg,78673,207.43904516161834,161.3756434863295,93.17680779937209,17.493854308339582,140.38049902762066,207.43904516161834,167.3961206513035,624.8024120603018,10.08235175879397,0.31161860567697097,0.1994738923808633,0.9403930147896151,0.03978983374157223,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_009.jpg,102831,216.55293637132772,167.52518209489355,94.63009209285137,17.613783781155487,143.71337437154165,216.55293637132772,173.90377415370853,759.196840659341,11.255050096961861,0.26882249328567076,0.1586072368531827,0.9198527964530487,0.0251562555822016,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_010.jpg,66867,212.43894596736806,170.2428851301838,91.4276848071545,19.256210088683506,145.95944187715915,212.43894596736806,173.88810624074657,676.2502138912655,11.49902776697519,0.32512772322597333,0.24767417978448675,0.9459280710079692,0.06134249933191826,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_011.jpg,92840,206.42309349418355,157.40192804825506,85.83899181387333,17.462516156828954,149.26534898750538,206.42309349418355,163.92535545023696,462.47280994084065,10.024765988960361,0.28890469708049993,0.19463676922725706,0.9517252842476428,0.03788347193522452,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_012.jpg,80165,235.41549304559345,190.536356265203,127.01931017276867,17.220333063057446,117.56837772095054,235.41549304559345,196.73887606810953,686.9328720397622,8.029646233310594,0.36073653787201326,0.21107698320506188,0.9513033149667234,0.04455349283894997,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_013.jpg,68204,228.96083807401325,183.4472025101167,111.87530056888158,18.019661603425018,130.83451117236527,228.96083807401325,188.92893378687467,544.9607789947216,8.334667073570468,0.3492204305905809,0.2226502588841498,0.9599495913264302,0.04957313778117892,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_014.jpg,99251,212.54703730944777,170.3248531500942,95.79350334001673,18.733917038619257,140.40362313729835,212.54703730944777,174.46044876122156,482.91574951076313,7.779655577299415,0.35510536092471007,0.2146821918632365,0.9593475104294155,0.04608844350320349,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_015.jpg,55938,201.80212020451214,163.23145267975258,103.46539025349495,17.800028603096287,124.35752082662948,201.80212020451214,167.93698380349673,397.49477256052836,6.9966373196380545,0.31488915013803204,0.14189517795710824,0.9533523924689645,0.020134241527479415,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_016.jpg,96405,226.9568590840724,181.2482858772885,107.81736424459312,18.24565115917224,134.19803952077174,226.9568590840724,186.57808204968623,492.1978277671561,8.232420778586832,0.3312287305104683,0.20956433205552608,0.9611154428040631,0.04391720926987879,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_017.jpg,75284,212.83406832793156,167.58963391955794,91.3356490090856,18.303809574411563,145.6522634291483,212.83406832793156,172.43758301896818,606.7577941176469,10.251176470588232,0.3051774693134539,0.19937379028784788,0.9459671301266538,0.03974990825374275,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_018.jpg,70342,224.05720622103436,180.16067214466463,105.34262602712462,18.651260982059082,135.47129737567883,224.05720622103436,184.78749537971623,880.8790991479649,13.53857888670418,0.2725452888081583,0.19394583154535297,0.9270979466693796,0.037614985573818434,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_019.jpg,59385,231.42160478235243,185.61350509387893,115.29142039235496,17.889568072745643,128.72969605119138,231.42160478235243,191.31800959838344,980.3107386570819,12.286333802156589,0.3174984720093195,0.21548756344979733,0.9299237780964698,0.046434890001530435,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_020.jpg,91449,218.31106955789565,172.84472219488458,98.48411683014577,18.329429518092052,140.54001683998732,218.31106955789565,177.98663736071472,526.0689616832021,9.707791652411906,0.3092271504380582,0.2098264311501046,0.9560236079421872,0.044027131209189586,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_021.jpg,64002,218.17947876628855,167.93328333489578,99.58229430330302,16.89156588856598,139.20488422236807,218.17947876628855,175.18879097528202,775.7841822231519,12.047204754931517,0.290046259714106,0.20102572935044385,0.9326079079521677,0.0404113438608779,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_022.jpg,85647,227.65774633086974,191.65173327728934,125.04724041706072,19.235478183707542,115.66486858850864,227.65774633086974,194.83626980513037,1094.8976944444441,14.98689814814814,0.27067425707866344,0.19563700560722913,0.9196392626513068,0.038273837962963,1
samples\Non-Contaminated\Output_1\Test_batch_1_001_023.jpg,71359,205.46092293894253,163.34170882439497,91.22214436861503,18.459955997141215,142.26099020445915,205.46092293894253,167.72440757297608,607.3033146591973,8.197198879551818,0.34884739977938606,0.15615930680240797,0.9384640027341583,0.02438572910100858,1
