sample_id,area,red,green,blue,hue,sat,value,gray,contrast,dissimilarity,homogeneity,energy,correlation,asm,class
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_001.jpg,63156,209.15594717841535,162.2569827094813,80.00690354043955,19.708752929254544,157.32030210906328,209.15817974539237,166.92217683197163,458.4930296508848,6.689825442372071,0.4089848976164747,0.23458854779169033,0.9593024140446681,0.05503178675501418,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_002.jpg,117852,222.71140073991108,176.19577945219427,103.49337304415708,19.744017920782,136.36602688117298,222.71818042969147,181.8547924515494,586.980193587417,7.882165759225652,0.4052413843725401,0.27711830170477497,0.9598958339097058,0.0767945531397387,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_003.jpg,95374,219.25642208568374,175.00891228217333,99.06795353031224,19.808333508083965,140.13345356176737,219.2639188877472,179.60768133872963,503.7187123221606,8.894758258982396,0.36053889107824033,0.2740914447763944,0.9638359489083446,0.07512612009961125,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_004.jpg,88197,218.4350941642006,178.1091193578013,113.99721078948264,18.575359706112454,122.99725614249918,218.43615996008936,182.8578749844099,590.5055733514525,8.467360706658898,0.3865518313553815,0.2766104056943031,0.9597228656490313,0.07651331653836697,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_005.jpg,107953,211.713838429687,172.26357766805924,107.66540994692134,18.848443304030457,125.86512649023186,211.71392179930154,176.70102729891713,418.8132106150876,6.80294499520695,0.44669565764061864,0.3368608103301185,0.97222087279934,0.11347520553626407,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_006.jpg,104102,215.09034408560834,166.53928839023266,87.04401452421664,19.23647960653974,152.39965610651092,215.09276478838063,172.0324009144877,756.295220164451,11.965811111964959,0.2782751748747112,0.1878726093682572,0.927256598496633,0.035296117350837763,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_007.jpg,73033,226.43225665110293,177.04403488833816,107.04974463598647,19.435556529240205,134.44204674599155,226.45436994235482,183.8601864910383,701.2071677773831,8.699051538638312,0.37043582132730085,0.22677461526652315,0.947186866775139,0.05142672612927959,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_008.jpg,78382,207.56182541910132,161.40562884335688,93.09031410272766,18.433441351330664,140.6314587532852,207.56201678956904,167.44070067107245,691.293745808844,10.262879176363855,0.3248897750525211,0.21479867187491875,0.9370921270339995,0.04613846943922901,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_009.jpg,103066,216.22509848058525,167.34278035433604,94.80553237731162,18.954931791279375,143.25570023091998,216.23839093396464,173.71891797488988,817.0281043556154,11.423708751219673,0.2736072691146775,0.16388521180274498,0.9157969739725251,0.026858362647630585,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_010.jpg,65749,213.7015315822294,171.4185310803206,91.71681698580967,19.975969216261845,146.51866948546746,213.70382819510561,174.98865381982995,799.8847397563666,11.543676633444058,0.3384515186253203,0.2613918292465657,0.9381660243905134,0.06832568839686574,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_011.jpg,93018,206.18281407899548,157.3160893590488,86.06159022984798,18.714711131178912,148.76007869444624,206.18729708228514,163.8284740587843,514.2368767976989,10.301867894808929,0.2895036815989896,0.19531919543472268,0.9466303357183984,0.03814958810526739,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_012.jpg,81361,234.1697004707415,189.5649143938742,127.25043939971239,19.950602868696304,116.48905495261857,234.2010668502108,195.8220646255577,705.6519956129896,8.088712984597779,0.36335073607534024,0.2154283190759514,0.950532444333851,0.046409360659889924,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_013.jpg,68031,228.71102879569608,183.34444591436258,111.94064470608987,19.75031970719231,130.64813099910336,228.7477767488351,188.80132586614926,663.8902471344333,8.520097616996841,0.3643607212836026,0.24045185622178394,0.9535379652973773,0.05781709516050145,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_014.jpg,98842,212.7828453491431,170.55108152404847,95.86949879605835,19.559448412618117,140.49109690212663,212.78662916573927,174.67259869286335,549.372582830398,7.867933243010223,0.367628282787524,0.22884850456821632,0.9555652774694575,0.052371638043108924,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_015.jpg,54017,204.69394820149213,165.76207490234555,104.72891867375085,18.99124349741748,125.08171501564323,204.69631782586964,170.43119758594517,544.3876475132934,7.807774461832119,0.33881655167240177,0.17291586078653265,0.9443975724867933,0.029899894911547535,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_016.jpg,96351,226.92195202955858,181.29522267542632,108.09613807848388,19.650745710994176,133.8964411370925,226.94192068582578,186.62703033699702,600.9115639180786,8.417170205443822,0.341435934524905,0.22114826416567246,0.9542048825907412,0.048906554743490045,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_017.jpg,74063,214.01617541822503,168.8262155192201,91.8705966541998,19.79497184829132,145.7248963720076,214.02326397796472,173.5782509485168,790.1743702383233,10.470586362768199,0.30989193526214226,0.20251269998653704,0.930558961597976,0.04101139365583716,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_018.jpg,69301,225.28429604190416,181.42576586196446,106.1049191209362,19.83825630221786,135.34087531204455,225.29874027791806,185.98419936220256,1118.8659225300644,13.909286204681857,0.2942886744658806,0.21736240531612658,0.9141244011456624,0.04724641524481209,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_019.jpg,59417,230.9135937526297,185.29200397192722,115.44396384873016,19.907282427588065,128.21971826245013,230.93266236935557,190.99488361916625,1136.3409000551478,12.52804175804445,0.326174500250043,0.22519427397613215,0.9210701518872366,0.05071246103163726,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_020.jpg,90216,219.51326815642457,173.92055732907687,98.87451228163519,19.12516626762437,140.95915358694688,219.51568457923207,179.02261239691407,687.6010843775964,10.03625726986955,0.3160570004080916,0.21687689347151254,0.9438801031189118,0.0470355869218538,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_021.jpg,63362,218.61866734004607,168.4405321801711,99.86502951295729,18.633392254032387,139.16328398724787,218.62387550898015,175.65038982355355,953.434534534535,12.485441441441447,0.31024798229452777,0.2234243378844021,0.9227859700085899,0.04991843475908348,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_022.jpg,84762,228.90065123522334,192.87225407611902,125.84810410325382,20.03172412165829,115.6358155777353,228.90581864514758,196.01600953257355,1345.6770109280653,15.435644828781498,0.28550372932719625,0.2115367458097025,0.9061130103557123,0.04474779482775868,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_023.jpg,70701,206.24340532665732,164.03388919534376,91.53985092148626,19.64499794910963,142.499710046534,206.2443954116632,168.4014794698802,717.4933123249303,8.380147058823527,0.35368972539582666,0.16208908124613078,0.9290197598829456,0.026272870259214785,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_024.jpg,66044,230.1740506329114,192.13975531463873,118.31962025316456,20.586699775906972,124.3368360486948,230.1778057052874,195.10847313911938,1128.2314667630062,12.950710500963392,0.288634073607947,0.19243286475757942,0.9147976967455849,0.03703040743880885,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_025.jpg,76866,225.45306117138918,173.85241849452294,114.87232326386179,17.767920797231547,125.9023755626675,225.4571982410949,182.56431972523612,744.4121974849162,8.483084095116595,0.39640090198283096,0.2511136393612891,0.9480084063153028,0.06305805987327158,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_026.jpg,81865,240.38252000244304,198.69614609417945,134.0694558113968,19.70044585598241,113.06519269529103,240.3974714468943,203.8227936236487,896.6473128874658,8.509578355298274,0.4357105735412694,0.317357237948293,0.9524755703723279,0.10071561647816947,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_027.jpg,83373,232.0315090017152,189.43111079126336,131.6005061590683,18.67638204214794,111.48283017283772,232.0497043407338,195.59641610593357,729.7656394275158,9.184861825616668,0.39993414790608517,0.3037156209029,0.958694309844751,0.09224317838043405,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_028.jpg,79043,219.17372822387813,178.7539440557671,112.58248042204876,20.19219918272333,125.36378932985843,219.1855445770024,183.32141998658958,616.9194574513722,7.264045200215412,0.4181881638341962,0.26781235420257926,0.9590343052861082,0.07172345706352778,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_029.jpg,79006,230.76472672961546,182.27964964686225,119.39402070728805,18.662569931397616,123.84192339822292,230.79991393058756,189.63020530086322,1126.750266184497,11.509798467160987,0.3356769038102122,0.22831407479731766,0.9200896865282253,0.05212731675055517,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_030.jpg,114717,214.20372743359746,162.75844033578284,97.594951053462,17.749880139822345,141.1134966918591,214.20802496578537,170.73388425429536,688.9604246713855,11.7864981462757,0.29612635163700507,0.2172339829398119,0.9417328875403527,0.04719060334389448,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_031.jpg,81215,208.07046727821216,164.5369328326048,100.53449485932401,19.91511420304131,132.0246752447208,208.08757003016683,170.28726220525766,721.2884029631857,8.539860113563716,0.3808539428271641,0.22418589758360813,0.9393199840977473,0.05025931667536804,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_032.jpg,95015,223.58061358732832,175.9867494606115,105.50509919486397,19.84574014629269,135.48687049413252,223.59354838709677,182.20562016523706,621.182524669756,7.557977868154733,0.38585595902345493,0.24244846839344567,0.9548851923523842,0.05878125982632762,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_001_033.jpg,72780,219.60494641384997,174.08550425941192,101.37337180544105,19.72320692497939,138.50048090134652,219.61210497389393,179.43461115691125,884.5452761627906,9.988631644518273,0.34965746770190803,0.23210576675525976,0.9322722063386204,0.05387308696104705,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_002_001.jpg,160211,226.73731516562532,179.93501070463327,109.96781744075001,19.41898496357928,132.74853162392097,226.74730199549344,185.97443371553763,552.6099757791056,7.037451961892462,0.5500120861748427,0.4747705798949472,0.9696688602580732,0.22540710353378443,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_002_002.jpg,64361,231.0401485371576,194.15627476266684,126.5531455384472,20.91104861639813,115.97302714376718,231.06788272400988,197.496884759404,931.5095111943266,10.102551589514775,0.4375554172657989,0.3460837394681954,0.9509399455403479,0.11977395472428974,0
samples\Non-Contaminated\Output_Watershed\Test_batch_1_002_003.jpg,66408,227.2615799301289,185.47182568365258,122.70477954463318,19.170521623900736,118.34789483194795,227.26373328514637,190.84440127695459,969.828161441583,9.81885694645619,0.3314796179560761,0.17393934085708382,0.9228543805891634,0.030254894297796785,0
